ItemName,Cost,StatBlock
Berserker's Greaves,1100,"AS: 25%, MS: 45"
Boots of Swiftness,1000,"MS: 60"
Ionian Boots of Lucidity,900,"AH: 10, MS: 45"
Mercury's Treads,1250,"MR: 20, MS: 45, T: 30%"
Plated Steelcaps,1200,"AR: 25, MS: 45"
Sorcerers Shoes,1100,"MS: 45, MP: 12"
Synchronized Soles,900,"MS: 45"
Abyssal Mask,2650,"AH: 15, HP: 350, MR: 45"
Ardent Censer,2200,"AP: 45, MaR: 125%, MS: 4%, HSP: 10%"
Axiom Arc,3000,"AD: 55, AH: 20, L: 18"
Banshee's Veil,3000,"AP: 105, MR: 40"
Black Cleaver,3000,"AD: 40, AH: 20, HP: 400"
Blackfire Torch,2800,"AP: 80, AH: 20, M: 600"
Blade of the Ruined King,3200,"AD: 40, AS: 25, LS: 10%"
Bloodletter's Curse,2900,"AP: 60, AH: 15, HP: 350"
Bloodsong,400,"HP: 200, HPR: 75%, MaR: 75%, GG: 5/10 sec"
Bloodthirster,3400,"AD: 80, LS: 15%"
Celestial Opposition,400,"HP: 200, HPR: 75%, MaR: 75%, GG: 5/10 sec"
Chempunk Chainsword,3100,"AD: 45, AH: 15, HP: 450"
Cosmic Drive,3000,"AP: 70, AH: 25, HP: 350, MS: 4%"
Cryptbloom,2850,"AP: 60, AH: 20, MP: 30%"
Dawncore,2500,"AP: 45, MaR: 100%, HSP: 16%"
Dead Man's Plate,2900,"HP: 350, AR: 55, MS: 4%"
Death's Dance,3300,"AD: 60, AH: 15, AR: 50"
Dream Maker,400,"HP: 200, HPR: 75%, MaR: 75%, GG: 5/10 sec"
Echoes of Helia,2200,"AP: 35, AH: 20, HP: 200, MaR: 125%"
Eclipse,2900,"AD: 60, AH: 15"
Edge of Night,3000,"AD: 50, HP: 250, L: 15"
Essence Reaver,2900,"AD: 60, AH: 15, CSC: 25%"
Experimental Hexplate,3000,"AD: 40, AS: 20%, HP: 450"
Fimbulwinter,2400,"AH: 15, HP: 550, M: 860"
Force of Nature,2800,"HP: 400, MR: 55, MS: 4%"
Frozen Heart,2500,"AH: 20, M: 400, AR: 75"
Guardian Angel,3200,"AD: 55, AR: 45"
Guinsoo's Rageblade,3000,"AP: 30, AD: 30, AS: 25%"
Heartsteel,3000,"HP: 900, HPR: 100%"
Hextech Rocketbelt,2600,"AP: 60, AH: 15, HP: 350"
Hollow Radiance,2800,"AH: 10, HP: 400, HPR: 100%, MR: 40"
Horizon Focus,2700,"AP: 75, AH: 25"
Hubris,3000,"AD: 60, AH: 10, L: 18"
Hullbreaker,3000,"AD: 40, HP: 500, MS: 4%"
Iceborn Gauntlet,2900,"AH: 15, HP: 300, AR: 50"
Immortal Shieldbow,3000,"AD: 55, CSC: 25%"
Imperial Mandate,2250,"AP: 60, AH: 20, MaR: 125%"
Infinity Edge,3450,"AD: 65, CSC: 25%, CSD: 40%"
Jak'Sho the Protean,3200,"HP: 350, AR: 45, MR: 45"
Kaenic Rookern,2900,"HP: 400, HPR: 100%, MR: 80"
Knight's Vow,2300,"AH: 10, HP: 200, HPR: 100%, AR: 40"
Kraken Slayer,3100,"AD: 45, AS: 45%, MS: 4%"
Liandry's Torment,3000,"AP: 70, HP: 300"
Lich Bane,3200,"AP: 115, AH: 10, MS: 4%"
Locket of the Iron Solari,2200,"AH: 10, HP: 200, AR: 25, MR: 25"
Lord Dominik's Regards,3100,"AD: 35, CSC: 25%, ARP: 40%"
Luden's Companion,2850,"AP: 100, AH: 10, M: 600"
Malignance,2700,"AP: 85, AH: 15, M: 600"
Maw of Malmortius,3100,"AD: 60, AH: 15, MR: 40"
Mejai's Soulstealer,1500,"AP: 20, HP: 100"
Mercurial Scimitar,3200,"AD: 40, MR: 40, LS: 10%"
Mikael's Blessing,2300,"AH: 15, HP: 250, MaR: 100%, HSP: 16%"
Moonstone Renewer,2200,"AP: 25, AH: 20, HP: 200, MaR: 125%"
Morellonomicon,2950,"AP: 75, AH: 15, HP: 350"
Mortal Reminder,3300,"AD: 35, CSC: 25%, ARP: 35%"
Muramana,2900,"AD: 35, AH: 15, M: 860"
Nashor's Tooth,3000,"AP: 80, AH: 15, AS: 50%"
Navori Flickerblade,2650,"AS: 40%, CSC: 25%, MS: 4%"
Opportunity,2700,"AD: 55, L: 15"
Overlord's Bloodmail,3300,"AD: 30, HP: 550"
Phantom Dancer,2650,"AS: 60%, CSC: 25%, MS: 8%"
Profane Hydra,3200,"AD: 60, AH: 10, L: 18"
Rabadon's Deathcap,3600,"AP: 130"
Randuin's Omen,2700,"HP: 350, AR: 75"
Rapid Firecannon,2650,"AS: 35%, CSC: 25%, MS: 4%"
Ravenous Hydra,3300,"AD: 65, AH: 15, L: 12%"
Redemption,2300,"AH: 15, HP: 200, MaR: 100%, HSP: 10%"
Riftmaker,3100,"AP: 70, AH: 15, HP: 350"
Rod of Ages,2600,"AP: 50, HP: 400, M: 400"
Runaan's Hurricane,2650,"AS: 40%, CSC: 25%, MS: 4%"
Rylai's Crystal Scepter,2600,"AP: 65, HP: 400"
Seraph's Embrace,2900,"AP: 70, AH: 25, M: 1000"
Serpent's Fang,2500,"AD: 55, L: 15"
Serlyda's Grudge,3000,"AD: 45, AH: 15, ARP: 35%"
Shadowflame,3200,"AP: 110, MP: 15"
Shurelya's Battlesong,2200,"AP: 50, AH: 15, MaR: 125%, MS: 4%"
Solstice Sleigh,400,"HP: 200, HPR: 75%, MaR: 75%, GG: 5/10 sec"
Spear of Shojin,3100,"AD: 45, HP: 450"
Spirit Visage,2700,"AH: 10, HP: 400, HPR: 100%, MR: 50"
Staff of Flowing Water,2250,"AP: 35, AH: 15, MaR: 125%, HSP: 10%"
Statikk Shiv,2700,"AD: 45, AS: 30%, MS: 4%"
Sterak's Gage,3200,"HP: 400, T: 20%"
Stormsurge,2900,"AP: 90, MS: 4%, MP: 15"
Stridebreaker,3300,"AD: 40, AS: 25%, HP: 450"
Sundered Sky,3100,"AD: 40, AH: 10, HP: 400"
Sunfire Aegis,2700,"AH: 10, HP: 350, AR: 50"
Terminus,3000,"AD: 30, AS: 35%"
The Collector,3000,"AD: 50, CSC: 25%, L: 10"
Thornmail,2450,"HP: 150, AR: 75"
Titanic Hydra,3300,"AD: 40, HP: 600"
Trailblazer,2400,"HP: 250, AR: 40, MS: 4%"
Trinity Force,3333,"AD: 36, AH: 15, AS: 30%, HP: 333"
Umbral Glaive,2500,"AD: 55, AH: 10, L: 15"
Unending Despair,2800,"AH: 10, HP: 400, AR: 25, MR: 25"
Vigilant Wardstone,2300,"AH: 20, HP: 250, AR: 25, MR: 30"
